decalage	unique	phase	marge	rx_avant	daram_len	vraies	mots_distincts	crc_ok	sb_tentees
-4	0	0.4	10	0	380	0	0	0	74
-4	0	0.4	10	1	296	0	3	3	58
-4	0	0.4	10	1	380	0	3	3	58
-4	0	0.4	21	0	296	0	1	4	73
-4	0	0.4	21	0	380	0	1	4	73
-4	0	0.4	21	1	296	0	1	1	58
-4	0	0.4	21	1	380	0	1	1	58
-4	0	0.4	30	0	296	0	1	1	69
-4	0	0.4	30	0	380	0	1	1	69
-4	0	0.4	30	1	296	0	1	1	57
-4	0	0.4	30	1	380	0	1	1	57
-4	0	0.4	41	0	296	0	1	1	74
-4	0	0.4	41	0	380	0	1	1	74
-4	0	0.4	41	1	296	0	3	3	57
-4	0	0.4	41	1	380	0	3	3	57
-4	0	0.5	0	0	296	0	3	4	72
-4	0	0.5	0	0	380	0	3	4	72
-4	0	0.5	0	1	296	0	1	1	59
-4	0	0.5	0	1	380	0	1	1	59
-4	0	0.5	10	0	296	0	1	1	70
-4	0	0.5	10	0	380	0	1	1	70
-4	0	0.5	10	1	296	0	0	0	56
-4	0	0.5	10	1	380	0	0	0	56
-4	0	0.5	21	0	296	0	2	3	72
-4	0	0.5	21	0	380	0	2	3	72
-4	0	0.5	21	1	296	0	1	1	58
-4	0	0.5	21	1	380	0	1	1	58
-4	0	0.5	30	0	296	0	1	1	72
-4	0	0.5	30	0	380	0	1	1	72
-4	0	0.5	30	1	296	0	0	0	58
-4	0	0.5	30	1	380	0	0	0	58
-4	0	0.5	41	0	296	0	1	1	72
-4	0	0.5	41	0	380	0	1	1	72
-4	0	0.5	41	1	296	0	0	0	58
-4	0	0.5	41	1	380	0	0	0	58
-4	0	0.6	0	0	296	0	2	5	71
-4	0	0.6	0	0	380	0	2	5	71
-4	0	0.6	0	1	296	0	0	0	60
-4	0	0.6	0	1	380	0	0	0	60
-4	0	0.6	10	0	296	0	4	4	70
-4	0	0.6	10	0	380	0	4	4	70
-4	0	0.6	10	1	296	0	3	3	56
-4	0	0.6	10	1	380	0	3	3	56
-4	0	0.6	21	0	296	0	3	3	70
-4	0	0.6	21	0	380	0	3	3	70
-4	0	0.6	21	1	296	0	1	1	55
-4	0	0.6	21	1	380	0	1	1	55
-4	0	0.6	30	0	296	0	3	3	68
-4	0	0.6	30	0	380	0	3	3	68
-4	0	0.6	30	1	296	0	2	2	57
-4	0	0.6	30	1	380	0	2	2	57
-4	0	0.6	41	0	296	0	3	7	70
-4	0	0.6	41	0	380	0	3	7	70
-4	0	0.6	41	1	296	0	0	0	58
-4	0	0.6	41	1	380	0	0	0	58
-4	0	0.7	0	0	296	0	1	1	73
-4	0	0.7	0	0	380	0	1	1	73
-4	0	0.7	0	1	296	0	2	2	58
-4	0	0.7	0	1	380	0	2	2	58
-4	0	0.7	10	0	296	0	1	1	74
-4	0	0.7	10	0	380	0	1	1	74
-4	0	0.7	10	1	296	0	2	2	57
-4	0	0.7	10	1	380	0	2	2	57
