decalage	unique	phase	marge	rx_avant	daram_len	vraies	crc_ok	sb_tentees	fb_acceptees
-3	1	0.9	21	1	296	0	1	30	65
-3	1	0.9	21	1	380	0	1	30	65
-3	1	0.9	30	0	296	0	1	37	76
-3	1	0.9	30	0	380	0	1	37	76
-3	1	0.9	30	1	296	0	1	29	59
-3	1	0.9	30	1	380	0	1	29	59
-3	1	0.9	41	0	296	0	2	37	76
-3	1	0.9	41	0	380	0	2	37	76
-3	1	0.9	41	1	296	0	3	29	59
-3	1	0.9	41	1	380	0	3	29	59
-2	0	0.0	0	0	296	0	1	58	62
-2	0	0.0	0	0	380	0	1	58	62
-2	0	0.0	0	1	296	0	2	58	60
-2	0	0.0	0	1	380	0	2	58	60
-2	0	0.0	10	0	296	0	4	58	61
-2	0	0.0	10	0	380	0	4	58	61
-2	0	0.0	10	1	296	0	7	54	60
-2	0	0.0	10	1	380	0	7	54	60
-2	0	0.0	21	0	296	0	1	59	63
-2	0	0.0	21	0	380	0	1	59	63
-2	0	0.0	21	1	296	0	2	57	60
-2	0	0.0	21	1	380	0	2	57	60
-2	0	0.0	30	0	296	0	2	56	61
-2	0	0.0	30	0	380	0	2	56	61
-2	0	0.0	30	1	296	0	2	57	59
-2	0	0.0	30	1	380	0	2	57	59
-2	0	0.0	41	0	296	0	0	58	63
-2	0	0.0	41	0	380	0	0	58	63
-2	0	0.0	41	1	296	0	3	57	61
-2	0	0.0	41	1	380	0	3	57	61
-2	0	0.1	0	0	296	0	2	58	61
-2	0	0.1	0	0	380	0	2	58	61
-2	0	0.1	0	1	296	0	1	56	59
-2	0	0.1	0	1	380	0	1	56	59
-2	0	0.1	10	0	296	0	2	57	63
-2	0	0.1	10	0	380	0	2	57	63
-2	0	0.1	10	1	296	0	4	55	58
-2	0	0.1	10	1	380	0	4	55	58
-2	0	0.1	21	0	296	0	0	60	63
-2	0	0.1	21	0	380	0	0	60	63
-2	0	0.1	21	1	296	0	12	50	59
-2	0	0.1	21	1	380	0	12	50	59
-2	0	0.1	30	0	296	0	2	58	62
-2	0	0.1	30	0	380	0	2	58	62
-2	0	0.1	30	1	296	0	6	52	59
-2	0	0.1	30	1	380	0	6	52	59
-2	0	0.1	41	0	296	0	0	58	61
-2	0	0.1	41	0	380	0	0	58	61
-2	0	0.1	41	1	296	0	2	58	59
-2	0	0.1	41	1	380	0	2	58	59
-2	0	0.2	0	0	296	0	5	56	60
-2	0	0.2	0	0	380	0	5	56	60
-2	0	0.2	0	1	296	0	8	54	61
-2	0	0.2	0	1	380	0	8	54	61
-2	0	0.2	10	0	296	0	2	57	60
-2	0	0.2	10	0	380	0	2	57	60
-2	0	0.2	10	1	296	0	1	57	60
-2	0	0.2	10	1	380	0	1	57	60
-2	0	0.2	21	0	296	0	3	59	63
-2	0	0.2	21	0	380	0	3	59	63
-2	0	0.2	21	1	296	0	0	58	61
-2	0	0.2	21	1	380	0	0	58	61
-2	0	0.2	30	0	296	0	3	56	61
-2	0	0.2	30	0	380	0	3	56	61
-2	0	0.2	30	1	296	0	6	53	60
-2	0	0.2	30	1	380	0	6	53	60
-2	0	0.2	41	0	296	0	2	58	62
-2	0	0.2	41	0	380	0	2	58	62
-2	0	0.2	41	1	296	0	1	57	60
-2	0	0.2	41	1	380	0	1	57	60
-2	0	0.3	0	0	296	0	1	58	62
-2	0	0.3	0	0	380	0	1	58	62
-2	0	0.3	0	1	296	0	5	54	59
